Rank,Space_Elevator_Transport,Rocket_Transport,Total_Cost,Total_Time,Total_Emissions,Launch_Site_1,Launch_Site_2,Launch_Site_3,Launch_Site_4,Launch_Site_5,Launch_Site_6,Launch_Site_7,Launch_Site_8,Launch_Site_9,Launch_Site_10
1,9691.447575224858,2816.223545546568,99995163276212.39,304.38450092062334,705655827.0468904,0,0,0,1,0,1,1,0,0,0
2,9870.037418267862,1949.8190494181488,99995082981290.88,152.19197863406657,705684656.688119,0,1,1,1,1,0,0,1,1,0
3,3453.8199538954395,6395.250548805986,99998300090023.06,101.4678297108535,705756704.2999022,1,1,1,1,1,0,1,1,1,1
4,9870.037418267862,1949.8190494181488,99995076981290.88,228.28796795109986,705664656.688119,1,1,0,1,0,1,0,0,0,0
5,8043.087611067816,7703.561635655845,99996002456194.47,114.14606953469057,705716629.2991887,1,1,1,1,1,1,0,0,1,1
6,9899.192137151485,997.6709338251055,99995071403931.42,130.45022936446554,705694465.6275278,0,0,1,1,1,1,0,1,1,1
7,9870.037418267862,1949.8190494181488,99995079981290.88,182.6303743608799,705674656.688119,1,1,0,1,0,1,0,0,1,0
