Factor,Time_Correlation,Cost_Correlation
alpha,0.05363298668385159,-0.018101455887258183
gamma,-0.9983267493025011,-0.4650491257322962
beta,-0.17899001646887175,-0.05367308263834056
delta,0.1366812725990809,-0.806765831229891
