Rank,Closeness,Space_Elevator_Transport,Rocket_Transport,Total_Cost,Total_Time,Launch_Site_1,Launch_Site_2,Launch_Site_3,Launch_Site_4,Launch_Site_5
1,0.9999884332699815,7126.853585728872,3286.4628244465366,99996460573207.12,114.14711546394322,0,1,1,1,0
2,0.9999884332699815,7126.853585728872,7946.976315668125,99996460573207.12,114.14711546394322,1,1,1,1,1
3,0.914297369396625,9251.2584409173,448.4780862517179,99995395370779.55,130.45107467913775,1,1,0,1,1
4,0.40000509920816324,9251.2584409173,448.4780862517179,99995386370779.55,228.28938068849106,0,0,0,1,1
5,0.40000509920816324,9251.2584409173,6984.143064553901,99995386370779.55,228.28938068849106,0,0,0,0,0
6,0.40000509920816324,9251.2584409173,3286.4628244465366,99995386370779.55,228.28938068849106,1,0,1,1,0
7,1.1566730018436823e-05,9251.2584409173,448.4780862517179,99995383370779.55,304.3858409179881,0,0,0,1,1
