Factor,Time_Sensitivity,Cost_Sensitivity
alpha,0.030063075938307798,-0.00870788431403806
gamma,-1.0032867499296438,-0.4010965386125097
beta,-0.3005612421639531,-0.07734966212662886
delta,0.08689207401474315,-0.44016586418857784
