Stage,Alpha,Det_Time,Det_Cost,Risk_Time_Mean,Risk_Cost_Mean,Risk_Time_Std,Risk_Cost_Std
1,1.0,18.6219739292365,6087988826815.643,19.302,6118590000000.0,0.47623103636785374,21430396636.553417
1,0.9648241206030151,17.96692962016788,6237618744967.855,18.994,6284234981045.578,0.3492334462791329,15715505082.560984
1,0.92964824120603,17.311885311099257,6387245413120.07,18.048,6421169962091.158,0.22292599668948437,10031669851.026796
1,0.8944723618090452,16.65684100203064,6536872081272.283,17.28,6566114943136.736,0.4534313619501854,20404411287.75834
1,0.8592964824120604,16.001796692962017,6686498749424.496,17.05,6735269924182.314,0.21794494717703367,9807522622.966515
1,0.8241206030150754,15.346752383893396,6836125417576.71,16.05,6869774905227.893,0.22693611435820435,10212125146.119196
1,0.7889447236180904,14.691708074824776,6985752085728.924,15.258,7013639886273.472,0.4510388009916664,20296746044.624985
1,0.7537688442211056,14.036663765756156,7135378753881.137,15.04,7183334867319.048,0.19595917942265423,8818163074.019442
1,0.7185929648241206,13.381619456687536,7285005422033.352,14.028,7317299848364.63,0.16497272501841023,7423772625.828461
1,0.6834170854271356,12.726575147618911,7434632090185.564,13.21,7459994829410.208,0.4403407771260799,19815334970.6736
1,0.6482412060301508,12.071530838550292,7584258758337.777,13.022,7631039810455.786,0.14668333238647124,6600749957.391206
1,0.6130653266331658,11.416486529481674,7733885426489.992,12.022,7765544791501.364,0.14668333238647124,6600749957.391204
1,0.5778894472361809,10.761442220413052,7883512094642.205,11.208,7908419772546.948,0.41077487751808783,18484869488.31395
1,0.542713567839196,10.106397911344432,8033138762794.42,11.012,8079104753592.526,0.1088852607105296,4899836731.97383
1,0.507537688442211,9.45135360227581,8182765430946.633,10.05,8215319734638.104,0.21794494717703367,9807522622.966515
1,0.4723618090452261,8.79630929320719,8332392099098.847,9.176,8355494715683.682,0.380820167533181,17136907538.993145
1,0.4371859296482412,8.141264984138571,8482018767251.061,9.008,8527439696729.262,0.08908422980528034,4008790341.237616
1,0.4020100502512563,7.48622067506995,8631645435403.273,8.092,8665724677774.84,0.289025950392002,13006167767.640089
1,0.3668341708542714,6.831176366001329,8781275353555.487,7.126,8801759658820.418,0.331849363416596,14933221353.747145
1,0.3266331658291457,6.14958904109589,8952277260015.16,7.008,9001598208586.795,0.08908422980528033,4008790341.237615
2,1.0,74.487895716946,24351955307262.57,75.968,24418560000000.0,0.7063823327349007,31787204973.070534
2,0.9648241206030151,71.86771848067151,24950465229871.42,73.462,25023809924182.312,0.5971231028858287,26870539629.862293
2,0.92964824120603,69.24754124439703,25548971902480.28,70.52,25609439848364.633,0.6337191807101944,28517363131.958748
2,0.8944723618090452,66.62736400812256,26147478575089.133,67.92,26210459772546.945,0.6705221845696083,30173498305.632378
2,0.8592964824120604,64.00718677184807,26745985247697.984,65.428,26816339696729.258,0.5699263110262589,25646683996.181656
2,0.8241206030150754,61.38700953557359,27344495170306.84,62.836,27417719620911.57,0.679046390167859,30557087557.553646
2,0.7889447236180904,58.766832299299104,27943001842915.69,59.94,28005419545093.887,0.6873136110975834,30929112499.39125
2,0.7537688442211056,56.14665506302463,28541508515524.547,57.354,28607069469276.19,0.5260076045077675,23670342202.849537
2,0.7185929648241206,53.52647782675014,29140015188133.406,54.738,29207369393458.52,0.639809346602564,28791420597.115383
2,0.6834170854271356,50.90630059047565,29738525110742.258,52.278,29814689317640.832,0.5106035644215579,22977160398.970104
2,0.6482412060301508,48.28612335420117,30337031783351.11,49.276,30397619241823.145,0.497819244304597,22401865993.706863
