Time,Cost,q_SE,q_R,Rocket_Launches,Alpha
6.1276,8941993973463.69,3290500000.0000005,6709499999.999999,44730.0,0.32905000000000006
6.3825,8883751756185.16,3427428571.4285717,6572571428.571428,43818.0,0.3427428571428572
6.6375,8825506288906.62,3564357142.857144,6435642857.142856,42905.0,0.3564357142857144
6.8925,8767260821628.09,3701285714.2857156,6298714285.714285,41992.0,0.3701285714285716
7.1475,8709015354349.56,3838214285.714287,6161785714.285713,41079.0,0.3838214285714287
7.4025,8650769887071.03,3975142857.142858,6024857142.857142,40166.0,0.3975142857142858
7.6575,8592524419792.5,4112071428.5714293,5887928571.428571,39253.0,0.41120714285714294
7.9125,8534278952513.97,4249000000.0000005,5750999999.999999,38340.0,0.42490000000000006
8.1675,8476036735235.44,4385928571.428571,5614071428.571429,37428.0,0.43859285714285706
8.4225,8417791267956.9,4522857142.857143,5477142857.142857,36515.0,0.45228571428571435
8.6774,8359545800678.37,4659785714.285714,5340214285.714286,35602.0,0.4659785714285714
8.9324,8301300333399.84,4796714285.714286,5203285714.285714,34689.0,0.4796714285714286
9.1874,8243054866121.31,4933642857.142857,5066357142.857143,33776.0,0.49336428571428564
9.4424,8184809398842.78,5070571428.571429,4929428571.428571,32863.0,0.5070571428571429
9.6974,8126563931564.24,5207500000.0,4792500000.0,31950.0,0.52075
9.9524,8068321714285.71,5344428571.428572,4655571428.571428,31038.0,0.5344428571428572
10.2074,8010076247007.18,5481357142.857143,4518642857.142857,30125.0,0.5481357142857144
10.4624,7951830779728.65,5618285714.285714,4381714285.714286,29212.0,0.5618285714285715
10.7173,7893585312450.12,5755214285.714286,4244785714.285714,28299.0,0.5755214285714286
10.9723,7835339845171.59,5892142857.142857,4107857142.857143,27386.0,0.5892142857142857
11.2273,7777094377893.06,6029071428.571429,3970928571.4285707,26473.0,0.602907142857143
11.4823,7718848910614.52,6166000000.0,3833999999.9999995,25560.0,0.6166
11.7373,7660606693335.99,6302928571.428572,3697071428.5714283,24648.0,0.6302928571428572
11.9923,7602361226057.46,6439857142.857143,3560142857.142856,23735.0,0.6439857142857144
12.2473,7544115758778.93,6576785714.285715,3423214285.714285,22822.0,0.6576785714285716
12.5023,7485870291500.4,6713714285.714287,3286285714.2857137,21909.0,0.6713714285714287
12.7572,7427624824221.87,6850642857.142857,3149357142.8571434,20996.0,0.6850642857142857
13.0122,7369379356943.34,6987571428.571428,3012428571.4285717,20083.0,0.6987571428571429
13.2672,7311133889664.8,7124499999.999999,2875500000.0000005,19170.0,0.7124499999999999
13.5222,7252891672386.27,7261428571.428571,2738571428.5714293,18258.0,0.7261428571428571
13.7772,7194646205107.74,7398357142.8571415,2601642857.142858,17345.0,0.7398357142857142
14.0322,7136400737829.21,7535285714.285714,2464714285.714286,16432.0,0.7535285714285714
14.2872,7078155270550.68,7672214285.714286,2327785714.2857146,15519.0,0.7672214285714286
14.5422,7019909803272.15,7809142857.142857,2190857142.8571434,14606.0,0.7809142857142857
14.7972,6961664335993.62,7946071428.571428,2053928571.428572,13693.0,0.7946071428571428
15.0521,6903418868715.08,8083000000.0,1916999999.9999998,12780.0,0.8083
15.3071,6845176651436.55,8219928571.428572,1780071428.5714285,11868.0,0.8219928571428572
15.5621,6786931184158.02,8356857142.857142,1643142857.1428573,10955.0,0.8356857142857143
15.8171,6728685716879.49,8493785714.285714,1506214285.7142859,10042.0,0.8493785714285714
16.0721,6670440249600.96,8630714285.714285,1369285714.2857146,9129.0,0.8630714285714285
16.3271,6612194782322.43,8767642857.142857,1232357142.8571434,8216.0,0.8767642857142857
16.5821,6553949315043.9,8904571428.57143,1095428571.4285703,7303.0,0.8904571428571431
16.8371,6495703847765.36,9041500000.0,958500000.0000008,6390.0,0.90415
17.092,6437461630486.83,9178428571.428572,821571428.5714277,5478.0,0.9178428571428572
17.347,6379216163208.3,9315357142.857141,684642857.1428583,4565.0,0.9315357142857141
17.602,6320970695929.77,9452285714.285715,547714285.7142851,3652.0,0.9452285714285715
17.857,6262725228651.24,9589214285.714287,410785714.28571385,2739.0,0.9589214285714287
18.112,6204479761372.7,9726142857.142857,273857142.85714257,1826.0,0.9726142857142857
18.367,6146234294094.17,9863071428.571428,136928571.42857128,913.0,0.9863071428571428
18.622,6087988826815.64,10000000000.0,0.0,0.0,1.0
