Index,q_SE,q_R,Time,Cost,Alpha,Rocket_Launches
199,10000000000.0,0.0,18.6219739292365,6087988826815.643,1.0,0.0
198,9949748743.718594,50251256.2814064,18.528396170798125,6109367315123.102,0.9949748743718594,336.0
197,9899497487.437185,100502512.56281471,18.43481841235975,6130742553430.561,0.9899497487437185,671.0
196,9849246231.155779,150753768.84422112,18.341240653921375,6152117791738.02,0.9849246231155779,1006.0
195,9798994974.874372,201005025.12562752,18.247662895483003,6173493030045.4795,0.9798994974874372,1341.0
194,9748743718.592964,251256281.40703583,18.154085137044625,6194868268352.938,0.9748743718592964,1676.0
193,9698492462.311558,301507537.68844223,18.060507378606253,6216243506660.396,0.9698492462311558,2011.0
192,9648241206.030151,351758793.96984863,17.96692962016788,6237618744967.855,0.9648241206030151,2346.0
191,9597989949.748743,402010050.25125694,17.873351861729503,6258993983275.315,0.9597989949748743,2681.0
190,9547738693.467337,452261306.53266335,17.77977410329113,6280369221582.773,0.9547738693467337,3016.0
189,9497487437.18593,502512562.81406975,17.686196344852757,6301744459890.232,0.9497487437185931,3351.0
188,9447236180.904522,552763819.095478,17.59261858641438,6323119698197.693,0.9447236180904522,3686.0
187,9396984924.623116,603015075.3768845,17.499040827976007,6344494936505.151,0.9396984924623115,4021.0
186,9346733668.34171,653266331.6582909,17.405463069537632,6365870174812.61,0.9346733668341709,4356.0
185,9296482412.0603,703517587.9396992,17.311885311099257,6387245413120.07,0.9296482412060301,4691.0
184,9246231155.778894,753768844.2211056,17.21830755266088,6408620651427.528,0.9246231155778895,5026.0
183,9195979899.497488,804020100.502512,17.12472979422251,6429995889734.987,0.9195979899497488,5361.0
182,9145728643.21608,854271356.7839203,17.031152035784135,6451371128042.447,0.914572864321608,5696.0
181,9095477386.934673,904522613.0653267,16.93757427734576,6472746366349.906,0.9095477386934673,6031.0
180,9045226130.653267,954773869.3467331,16.84399651890739,6494121604657.364,0.9045226130653267,6366.0
179,8994974874.371859,1005025125.6281414,16.75041876046901,6515496842964.824,0.8994974874371858,6701.0
178,8944723618.090452,1055276381.9095478,16.65684100203064,6536872081272.283,0.8944723618090452,7036.0
177,8894472361.809046,1105527638.1909542,16.563263243592264,6558247319579.741,0.8894472361809046,7371.0
176,8844221105.527637,1155778894.4723625,16.46968548515389,6579622557887.201,0.8844221105527638,7706.0
175,8793969849.246231,1206030150.753769,16.376107726715514,6600997796194.66,0.8793969849246231,8041.0
174,8743718592.964825,1256281407.0351753,16.282529968277142,6622373034502.12,0.8743718592964824,8376.0
173,8693467336.683416,1306532663.3165836,16.188952209838764,6643748272809.579,0.8693467336683416,8711.0
172,8643216080.40201,1356783919.59799,16.095374451400392,6665123511117.038,0.864321608040201,9046.0
171,8592964824.120604,1407035175.8793964,16.001796692962017,6686498749424.496,0.8592964824120604,9381.0
170,8542713567.839196,1457286432.1608038,15.908218934523642,6707873987731.955,0.8542713567839196,9716.0
169,8492462311.557789,1507537688.4422112,15.814641176085267,6729249226039.414,0.8492462311557789,10051.0
168,8442211055.276382,1557788944.7236176,15.721063417646894,6750624464346.874,0.8442211055276383,10386.0
167,8391959798.994975,1608040201.005025,15.627485659208519,6771999702654.334,0.8391959798994975,10721.0
166,8341708542.713568,1658291457.2864323,15.533907900770144,6793374940961.792,0.8341708542713567,11056.0
165,8291457286.432161,1708542713.5678387,15.44033014233177,6814750179269.251,0.8291457286432161,11391.0
164,8241206030.150754,1758793969.849246,15.346752383893397,6836125417576.71,0.8241206030150754,11726.0
163,8190954773.869347,1809045226.1306534,15.253174625455022,6857500655884.17,0.8190954773869347,12061.0
162,8140703517.58794,1859296482.4120598,15.15959686701665,6878875894191.629,0.814070351758794,12396.0
161,8090452261.306533,1909547738.6934671,15.066019108578274,6900251132499.088,0.8090452261306533,12731.0
160,8040201005.0251255,1959798994.9748745,14.9724413501399,6921626370806.547,0.8040201005025126,13066.0
159,7989949748.743719,2010050251.256281,14.878863591701526,6943001609114.006,0.7989949748743719,13401.0
158,7939698492.462312,2060301507.5376883,14.785285833263151,6964376847421.465,0.7939698492462312,13736.0
157,7889447236.180904,2110552763.8190956,14.691708074824776,6985752085728.924,0.7889447236180904,14071.0
