Total_Time,Total_Cost
186.21973929236498,60879888268156.42
186.12616153392662,60901266756463.88
186.03258377548823,60922641994771.34
185.93900601704985,60944017233078.8
185.8454282586115,60965392471386.26
185.75185050017313,60986767709693.72
185.7518505001731,60986767709693.72
185.65827274173475,61008142948001.18
185.65827274173472,61008146198001.18
185.56469498329636,61029518186308.64
185.471117224858,61050893424616.09
185.37753946641962,61072268662923.555
185.28396170798123,61093643901231.016
185.19038394954288,61115019139538.48
185.0968061911045,61136394377845.93
185.0032284326661,61157769616153.39
184.90965067422775,61179144854460.85
184.8160729157894,61200520092768.31
184.81607291578936,61200520092768.31
184.722495157351,61221895331075.766
184.72249515735098,61221898581075.766
184.62891739891262,61243270569383.23
184.53533964047426,61264645807690.69
184.53533964047423,61264649057690.69
184.44176188203588,61286021045998.14
184.44176188203585,61286024295998.14
184.3481841235975,61307396284305.61
184.25460636515913,61328771522613.06
184.2546063651591,61328774772613.06
184.16102860672075,61350146760920.52
184.16102860672072,61350150010920.52
184.06745084828236,61371521999227.984
183.973873089844,61392897237535.44
183.88029533140565,61414272475842.9
183.88029533140562,61414275725842.9
183.78671757296723,61435647714150.36
183.69313981452888,61457022952457.82
183.59956205609052,61478398190765.27
183.5995620560905,61478401440765.28
183.50598429765213,61499773429072.734
183.5059842976521,61499776679072.734
183.41240653921375,61521148667380.195
183.3188287807754,61542523905687.66
183.31882878077536,61542527155687.66
183.225251022337,61563899143995.12
183.22525102233698,61563902393995.12
183.13167326389862,61585274382302.58
183.03809550546026,61606649620610.03
182.9445177470219,61628024858917.49
182.94451774702188,61628028108917.484
182.8509399885835,61649400097224.945
182.75736223014513,61670775335532.41
182.66378447170678,61692150573839.87
182.66378447170675,61692153823839.87
182.5702067132684,61713525812147.33
182.57020671326836,61713529062147.33
182.47662895483,61734901050454.78
182.38305119639165,61756276288762.25
182.38305119639162,61756279538762.24
182.28947343795326,61777651527069.7
182.28947343795323,61777654777069.7
182.19589567951488,61799026765377.164
182.10231792107652,61820402003684.625
182.00874016263816,61841777241992.08
182.00874016263813,61841777241992.08
181.91516240419975,61863152480299.55
181.8215846457614,61884527718607.0
181.72800688732303,61905902956914.46
181.728006887323,61905906206914.45
181.63442912888465,61927278195221.92
181.63442912888462,61927281445221.914
181.54085137044626,61948653433529.375
181.4472736120079,61970028671836.836
181.44727361200788,61970031921836.83
181.35369585356952,61991403910144.3
181.3536958535695,61991407160144.3
181.26011809513113,62012779148451.75
181.16654033669278,62034154386759.22
181.16654033669275,62034160886759.22
181.0729625782544,62055529625066.67
