Index,q_SE,q_R,Time,Cost,Alpha,Rocket_Launches
199,40000000000.0,0.0,74.487895716946,24351955307262.57,1.0,0.0
198,39798994974.874374,201005025.1256256,74.1135846831925,24437459510492.406,0.9949748743718594,1341.0
197,39597989949.74874,402010050.25125885,73.739273649439,24522960463722.242,0.9899497487437185,2681.0
196,39396984924.623116,603015075.3768845,73.3649626156855,24608461416952.08,0.9849246231155779,4021.0
195,39195979899.49749,804020100.5025101,72.99065158193201,24693962370181.918,0.9798994974874372,5361.0
194,38994974874.37186,1005025125.6281433,72.6163405481785,24779463323411.754,0.9748743718592964,6701.0
193,38793969849.24623,1206030150.753769,72.24202951442501,24864964276641.586,0.9698492462311558,8041.0
192,38592964824.120605,1407035175.8793945,71.86771848067151,24950465229871.42,0.9648241206030151,9381.0
191,38391959798.99497,1608040201.0050278,71.49340744691801,25035966183101.26,0.9597989949748743,10721.0
190,38190954773.86935,1809045226.1306534,71.11909641316451,25121467136331.094,0.9547738693467337,12061.0
189,37989949748.74372,2010050251.256279,70.74478537941103,25206968089560.93,0.9497487437185931,13401.0
188,37788944723.61809,2211055276.381912,70.37047434565751,25292469042790.773,0.9447236180904522,14741.0
187,37587939698.49246,2412060301.507538,69.99616331190403,25377969996020.605,0.9396984924623115,16081.0
186,37386934673.36684,2613065326.6331635,69.62185227815053,25463470949250.44,0.9346733668341709,17421.0
185,37185929648.2412,2814070351.7587967,69.24754124439703,25548971902480.28,0.9296482412060301,18761.0
184,36984924623.11558,3015075376.8844223,68.87323021064353,25634472855710.113,0.9246231155778895,20101.0
183,36783919597.98995,3216080402.010048,68.49891917689004,25719973808939.95,0.9195979899497488,21441.0
182,36582914572.86432,3417085427.135681,68.12460814313654,25805474762169.79,0.914572864321608,22781.0
181,36381909547.73869,3618090452.261307,67.75029710938304,25890975715399.625,0.9095477386934673,24121.0
180,36180904522.61307,3819095477.3869324,67.37598607562956,25976476668629.457,0.9045226130653267,25461.0
179,35979899497.487434,4020100502.5125656,67.00167504187604,26061977621859.297,0.8994974874371858,26801.0
178,35778894472.36181,4221105527.638191,66.62736400812256,26147478575089.133,0.8944723618090452,28141.0
177,35577889447.23618,4422110552.763817,66.25305297436906,26232979528318.965,0.8894472361809046,29481.0
176,35376884422.11055,4623115577.88945,65.87874194061555,26318480481548.805,0.8844221105527638,30821.0
175,35175879396.984924,4824120603.015076,65.50443090686205,26403981434778.64,0.8793969849246231,32161.0
174,34974874371.8593,5025125628.140701,65.13011987310857,26489482388008.48,0.8743718592964824,33501.0
173,34773869346.733665,5226130653.266335,64.75580883935505,26574983341238.316,0.8693467336683416,34841.0
172,34572864321.60804,5427135678.39196,64.38149780560157,26660484294468.152,0.864321608040201,36181.0
171,34371859296.482414,5628140703.517586,64.00718677184807,26745985247697.984,0.8592964824120604,37521.0
170,34170854271.356785,5829145728.643215,63.63287573809457,26831486200927.82,0.8542713567839196,38861.0
169,33969849246.231155,6030150753.768845,63.25856470434107,26916990404157.656,0.8492462311557789,40202.0
168,33768844221.10553,6231155778.89447,62.884253670587576,27002491357387.496,0.8442211055276383,41542.0
167,33567839195.9799,6432160804.0201,62.509942636834076,27087992310617.336,0.8391959798994975,42882.0
166,33366834170.85427,6633165829.145729,62.135631603080576,27173493263847.168,0.8341708542713567,44222.0
165,33165829145.728645,6834170854.271355,61.76132056932708,27258994217077.004,0.8291457286432161,45562.0
164,32964824120.603016,7035175879.396984,61.38700953557359,27344495170306.84,0.8241206030150754,46902.0
163,32763819095.477386,7236180904.522614,61.01269850182009,27429996123536.68,0.8190954773869347,48242.0
162,32562814070.35176,7437185929.648239,60.6383874680666,27515497076766.516,0.814070351758794,49582.0
