Index,Total_Time_Mean,Total_Cost_Mean,Total_Time_Std,Total_Cost_Std
132650,278.345,65025524999999.46,13.787792462899926,620450660830.4934
130049,277.861,65105806403508.234,13.787674967158168,620445373522.1143
127448,277.415,65187797807017.01,13.782566560695434,620215495231.2913
124847,276.924,65267764210525.78,13.780454782045474,620120465192.0431
132599,275.228,65293505614034.555,13.66434374567619,614895468555.4209
129998,274.744,65373787017543.33,13.66422518842543,614890133479.1367
127397,274.298,65455778421052.09,13.659070612600258,614658177567.0039
124796,273.807,65535744824560.87,13.656939737730411,614562288197.8608
132548,272.696,65587811228069.64,13.460822634594068,605737018556.7323
132598,271.678,65644062631578.42,13.496921500846039,607361467538.0741
132648,269.494,65647844035087.19,13.040289950764132,586813047784.3749
130047,269.01,65728125438595.97,13.040165719805865,586807457391.2528
127446,268.564,65810116842104.734,13.03476436304086,586564396336.8276
124845,268.073,65890083245613.51,13.032531411817123,586463913531.7594
132597,266.377,65915824649122.28,12.909695232653636,580936285469.398
132647,264.209,65920326052631.08,12.460370660618407,560716679727.7996
130046,263.725,66000607456139.86,12.460240647756367,560710829149.0077
127445,263.279,66082598859648.625,12.454587789244572,560456450515.9769
124844,262.788,66162565263157.4,12.452250800558108,560351286025.0859
132596,261.092,66188306666666.17,12.323632013331135,554563440599.8672
132646,259.733,66229213070174.95,11.766273029298615,529482286318.41
130045,259.249,66309494473683.734,11.7661353468333,529476090607.4708
127444,258.803,66391485877192.5,11.76014885109878,529206698299.41736
124843,258.312,66471452280701.27,11.757673834564386,529095322555.3696
132595,256.616,66497193684210.05,11.621370401118794,522961668050.3126
132645,255.51999999999998,66549935087718.83,11.285266766895678,507837004510.268
130044,255.036,66630216491227.61,11.285123215986612,507830544719.36005
127443,254.59,66712207894736.375,11.278881416168893,507549663727.56256
132544,254.084,66791499298245.14,11.381375400187798,512161893008.4255
132594,252.403,66817915701753.92,11.13410593626628,501034767131.9394
132644,251.791,66892437105262.7,10.952678804749091,492870546213.6754
130043,251.307,66972718508771.47,10.952530894729309,492863890262.78516
127442,250.861,67054709912280.25,10.946099442267094,492574474901.9854
132543,249.87099999999998,67112221315789.016,10.88337130672293,489751708802.49634
132593,248.67399999999998,67160417719297.8,10.796862599848161,485858816993.1276
132643,247.322,67201639122806.59,10.498516942882931,472433262429.7063
130042,246.83799999999997,67281920526315.36,10.498362634239683,472426318540.7601
127441,246.392,67363911929824.14,10.491652777327316,472124374979.7034
124840,245.901,67443878333332.91,10.488878443379921,471999529952.0707
132592,244.20499999999998,67469619736841.69,10.335856374776112,465113536864.8933
132642,243.581,67543601140350.47,10.329821537664627,464841969194.88556
