Time,Cost,q_SE,q_R,Rocket_Launches,Alpha
24.5099,35768064571917.8,13161796438.356167,26838203561.643833,178922.0,0.32904491095890415
25.5298,35535081025700.35,13709514878.389711,26290485121.610287,175270.0,0.34273787195974276
26.5498,35302100729482.9,14257233318.42326,25742766681.57674,171619.0,0.3564308329605815
27.5697,35069117183265.44,14804951758.45681,25195048241.54319,167967.0,0.37012379396142026
28.5897,34836136887047.99,15352670198.490355,24647329801.509644,164316.0,0.38381675496225887
29.6097,34603156590830.54,15900388638.523903,24099611361.476097,160665.0,0.3975097159630976
30.6296,34370173044613.08,16448107078.55745,23551892921.44255,157013.0,0.41120267696393625
31.6496,34137192748395.64,16995825518.590998,23004174481.409004,153362.0,0.4248956379647749
32.6695,33904209202178.18,17543543958.624546,22456456041.375454,149710.0,0.43858859896561364
33.6895,33671228905960.72,18091262398.658096,21908737601.341904,146059.0,0.4522815599664524
34.7095,33438245359743.27,18638980838.69164,21361019161.30836,142407.0,0.465974520967291
35.7294,33205265063525.82,19186699278.725185,20813300721.274815,138756.0,0.47966748196812964
36.7494,32972281517308.36,19734417718.758736,20265582281.241264,135104.0,0.4933604429689684
37.7693,32739301221090.91,20282136158.792282,19717863841.207718,131453.0,0.507053403969807
38.7893,32506317674873.46,20829854598.82583,19170145401.17417,127801.0,0.5207463649706457
39.8093,32273337378656.0,21377573038.85938,18622426961.14062,124150.0,0.5344393259714845
40.8292,32040357082438.54,21925291478.892925,18074708521.107075,120499.0,0.5481322869723231
41.8492,31807373536221.1,22473009918.92647,17526990081.07353,116847.0,0.5618252479731618
42.8691,31574393240003.64,23020728358.960022,16979271641.03998,113196.0,0.5755182089740005
43.8891,31341409693786.19,23568446798.99357,16431553201.00643,109544.0,0.5892111699748392
44.9091,31108429397568.73,24116165239.027115,15883834760.972885,105893.0,0.6029041309756779
45.929,30875445851351.28,24663883679.060665,15336116320.939337,102241.0,0.6165970919765166
46.949,30642465555133.82,25211602119.094204,14788397880.905794,98590.0,0.6302900529773551
47.9689,30409482008916.37,25759320559.127754,14240679440.872246,94938.0,0.6439830139781939
48.9889,30176501712698.92,26307038999.161304,13692961000.838697,91287.0,0.6576759749790326
50.0089,29943518166481.46,26854757439.19485,13145242560.805147,87635.0,0.6713689359798712
51.0288,29710537870264.01,27402475879.2284,12597524120.771599,83984.0,0.6850618969807101
52.0488,29477557574046.56,27950194319.26195,12049805680.73805,80333.0,0.6987548579815488
53.0687,29244574027829.1,28497912759.295498,11502087240.704502,76681.0,0.7124478189823874
54.0887,29011593731611.65,29045631199.32904,10954368800.67096,73030.0,0.726140779983226
55.1087,28778610185394.2,29593349639.36259,10406650360.637411,69378.0,0.7398337409840647
56.1286,28545629889176.74,30141068079.396133,9858931920.603865,65727.0,0.7535267019849033
57.1486,28312646342959.28,30688786519.429684,9311213480.570316,62075.0,0.7672196629857421
58.1685,28079666046741.83,31236504959.463234,8763495040.536768,58424.0,0.7809126239865809
59.1885,27846682500524.38,31784223399.496777,8215776600.503222,54772.0,0.7946055849874194
60.2085,27613702204306.92,32331941839.53033,7668058160.469669,51121.0,0.8082985459882582
61.2284,27380718658089.47,32879660279.56388,7120339720.436121,47469.0,0.8219915069890971
62.2484,27147738361872.02,33427378719.597427,6572621280.402572,43818.0,0.8356844679899357
63.2683,26914758065654.56,33975097159.63097,6024902840.36903,40167.0,0.8493774289907743
64.2883,26681774519437.12,34522815599.66451,5477184400.335488,36515.0,0.8630703899916128
65.3083,26448794223219.66,35070534039.69806,4929465960.30194,32864.0,0.8767633509924515
66.3282,26215810677002.2,35618252479.731606,4381747520.268391,29212.0,0.8904563119932901
67.3482,25982830380784.75,36165970919.76516,3834029080.234842,25561.0,0.904149272994129
68.3681,25749846834567.3,36713689359.798706,3286310640.201293,21909.0,0.9178422339949677
69.3881,25516866538349.84,37261407799.83225,2738592200.167744,18258.0,0.9315351949958063
70.4081,25283882992132.38,37809126239.86581,2190873760.1341953,14606.0,0.9452281559966451
71.428,25050902695914.94,38356844679.89935,1643155320.1006465,10955.0,0.9589211169974838
72.448,24817919149697.48,38904563119.9329,1095436880.0670977,7303.0,0.9726140779983224
73.4679,24584938853480.02,39452281559.96645,547718440.0335488,3652.0,0.9863070389991614
74.4879,24351955307262.57,40000000000.0,0.0,0.0,1.0
