Alpha_Camp,Alpha_Base,Alpha_City,Time,Cost,Emissions
0.6822986687326671,1.0,1.0,180.303513384221,54193793989928.25,33183875052.487568
0.3783828210501806,0.3374119124231087,0.32568443800950225,62.97000330616821,85032293278648.12,484849280019.5849
0.5674386545566066,0.47811950217232774,0.4542052085631235,88.4719312115742,78234154307950.03,385282690787.2064
0.4884540505358146,0.6294274050580677,0.3718987079381477,90.6081417217658,77674921099013.23,377092075173.24
0.49587343592670335,0.3288512484486068,0.3252249321992567,64.56263849930917,84637659932752.61,479069419322.7766
0.7206566611153759,0.902546282444458,0.8155899981527218,156.5883013343914,60402140064423.016,124112266789.70326
0.5831126930548464,0.7634857333435976,0.9406406187158813,155.31208044708833,60736238739957.86,129005527391.38286
0.5017279273785537,0.5455063454163415,0.3875446454011535,86.06101556889547,78865301886757.78,394526575326.05237
0.7355114829195295,0.9588079361660882,0.9862155458258408,176.94266213618408,55073622836023.7,46069983690.68564
0.6283599602424043,0.608682506189508,0.8085483767612924,132.32461580645992,66754069639566.375,217143604567.18744
0.5503282793654471,0.5369156674723099,0.792235768835664,124.00688628366865,68931547257014.09,249035276748.8833
0.5762197356584018,0.7867553995893684,0.8254955498992511,146.19588609892236,63122744467878.36,163958657437.2339
0.6189548252954944,0.7474178376414742,0.722593048912229,134.48028715870643,66189741825440.14,208878372581.83093
0.5060859693649508,0.8834496009614892,0.5443470120776743,125.91470081190462,68432105261203.51,241720372441.01147
0.49164000982279243,0.6270100053604518,0.46855374241779607,99.48694121701267,75350562376151.3,343049159724.5544
0.5378606631130748,0.6190744443349574,0.6178514710683924,113.65764982858224,71640847995500.03,288716112180.2465
0.5104313199425021,0.7049253842966244,0.7892552811360178,135.50110359048585,65922504843805.69,204964378635.43103
0.5131349203385763,0.4650793952783878,0.38511179806849916,80.0560799216876,80437318977501.22,417550579485.8639
0.6876577314703811,0.5811568811185694,0.803491563926652,130.9076922826428,67125002506557.65,222576344403.7366
0.6619212254387153,0.9621941713201861,0.9907099405886103,176.24297232146205,55256792883395.26,48752720384.49669
0.6270717332749586,0.8709468252179349,0.7567673366007863,147.01481782403408,62908358378890.67,160818725795.44507
0.4389614001275681,0.3422378228145461,0.3351700119329465,64.87453912570736,84411656588628.88,475759339574.99536
0.6874888668625031,0.630172732453299,0.7876434543262957,133.0800198939884,66556314292002.516,214247249322.86755
0.660134962408759,0.4785456695530156,0.4020613335686189,85.37475434755896,79044956496238.4,397157824375.6764
0.6242499161573996,0.5166233936616476,0.5004965546002821,96.70812409321043,76078021963948.69,353703644764.29443
0.7355789705929321,0.9685712286490294,0.9943797730744465,178.43133613708162,54683906591013.75,40362139609.92445
0.4587381530557136,0.6325194640386491,0.4794124701152354,100.295686401983,75138842996040.88,339948285111.2448
0.7350557939537025,0.9819200285060048,1.0,179.9392161634585,54289162448608.6,34580656170.39067
0.5600735639907808,0.9367920285217797,0.9930051630030948,172.66792352129187,56192695971169.8,62460100993.133125
0.7069263418634547,0.8585781473504669,0.8976293035801368,160.69619085970217,59326745935315.72,108361878929.54715
0.3825430968311424,0.3345493702887416,0.36883676956856054,66.38592971748439,84015993424084.06,469964395995.8157
0.6782783368219579,0.9620192232631677,0.9821964668985558,175.74185408505414,55387979373708.89,50674097904.1671
0.5270615888251369,0.5849519650691115,0.7884527053782135,126.79949675963968,68200476742035.83,238327905514.12476
0.7098600840428962,0.7794473104138535,0.8582959764367192,151.19421243727945,61814245111575.71,144794174557.2319
0.613200130705371,0.8927045837964045,0.9536799739530345,166.71170085020785,57751960613676.21,85297330834.15009
0.5168488737191532,0.38808539468255326,0.5693872658402782,91.54798476072173,77428881939452.56,373488547790.1359
0.649160085548778,0.9274024833627541,0.938445453703403,168.5474355217283,57271388223355.55,78258793671.2998
0.5768541550134738,0.8013502699980267,0.5615732650062872,122.72107188150869,69268157394819.55,253965320613.357
0.592624557099787,0.5811821369335235,0.44659870128812884,95.90962032168576,76287060270036.69,356765251954.9989
0.6398202078089883,0.9239576667905132,0.9501536160081843,169.20705689035313,57098707594316.68,75729686612.14589
0.6802597677096518,0.8708457206452238,0.9153398688950938,162.7624207591437,58785832775515.67,100439581573.70647
0.5306749515525181,0.6302083617563781,0.7318303516359683,124.96573848711121,68680531735805.375,245358864807.4879
0.6539781340683348,0.7443292781817519,0.8783201334966032,149.40215855266962,62283382417893.0,151665231720.5252
0.3954967172040864,0.3998132231378454,0.33246299517451217,68.10176137109923,83566810145063.36,463385588586.15875
0.6412832398056474,0.8558113063333587,0.8273012769341546,152.7194571659191,61414955107176.95,138946111723.57635
0.4998998050389187,0.5018557314603157,0.3656016274422512,80.73241840021299,80260262018054.25,414957376018.27136
0.5376439336347549,0.6006061448642658,0.9460920890644631,142.8403902870416,64001171327731.11,176824232369.2309
0.4559602801949883,0.34220874887908936,0.34042845432529856,65.67853905657056,84201179456728.03,472676659120.07837
