Time,Cost,Emissions,Alpha
6.3465,8899512319514.373,24228430650.1668,0.3408
6.733,8810981681522.04,23465463432.1033,0.3616
7.0906,8729068926111.6,22759542512.9381,0.3808
7.1766,8709387261085.405,22590058148.5656,0.3854
7.381,8662559882952.696,22186445092.0613,0.3964
7.6609,8598458150304.389,21634002998.7713,0.4114
7.9666,8528450291036.799,21030838156.3081,0.4278
8.2727,8458335028042.755,20426566073.5912,0.4442
8.6249,8377673758621.391,19731490080.2016,0.4632
8.9186,8310399653367.095,19151739000.6992,0.4789
9.1684,8253199626280.441,18658837705.5596,0.4923
9.5482,8166207271645.461,17909080958.2957,0.5127
9.8371,8100042260100.541,17338998264.4178,0.5283
9.9838,8066430931240.36,17049355711.1062,0.5361
10.5528,7936100963874.767,15926144654.336,0.5667
10.8176,7875471737151.251,15403754425.275,0.5809
11.0829,7814699238715.825,14880034836.2786,0.5952
11.1927,7789542017646.862,14663230985.8602,0.6011
11.368,7749405592830.957,14317411480.8594,0.6105
11.5851,7699680527424.96,13888779976.9614,0.6221
12.3874,7515919013546.312,12305289240.1761,0.6652
13.2347,7321861800287.224,10632986790.3966,0.7107
13.5636,7246543561096.749,9983967469.2551,0.7284
13.7052,7214095697944.847,9704330011.0579,0.736
13.9544,7157019530143.228,9212490486.7891,0.7494
14.2128,7097838743606.293,8702459609.2554,0.7632
14.6567,6996180083546.885,7826361761.5427,0.7871
15.5156,6799466975804.8545,6131275083.2579,0.8332
15.7648,6742385594559.521,5639403273.695,0.8466
16.085,6669048535596.854,5007368766.9724,0.8638
16.3356,6611655853097.775,4512832293.4441,0.8772
16.8304,6498332412452.785,3536202201.3163,0.9038
17.1675,6421119381306.524,2870880416.1518,0.9219
17.4492,6356586828561.052,2314738767.0793,0.937
17.5399,6335815575365.25,2135706809.0427,0.9419
17.8778,6258432220218.416,1468888137.2287,0.96
18.2926,6163431942809.606,650234766.9234,0.9823
18.3903,6141052410056.628,457411498.8804,0.9876
18.622,6087988826815.643,0.0,1.0
